Site,ID number,Species,Number of scars,Length,Proximal width,Medial width,Distal width,Thickness at medial,Platform width,Platform thickness
A5,4493,Sapiens,8,19.95,15.33,15.48,2.12,5.49,13.61,5.35
A5,1235,Sapiens,5,23.98,24.48,20.56,16.74,5.64,25.08,6.98
A5,1003,Sapiens,8,29.58,37.14,44.1,20.73,10.32,39.72,11.12
A5,1023,Sapiens,6,20.19,13.14,15.6,12.51,4.48,9.83,4.72
A5,1435,Sapiens,10,26.59,16.75,25.03,19,5.06,12.61,4.25
A5,1431,Sapiens,6,20.28,22.32,25.51,20.79,5.38,15.08,4.98
A5,4436,Sapiens,6,25.96,18.2,23.03,13.87,4.17,8.16,2.83
A5,4304,Sapiens,11,49.72,20.2,35.19,4.72,6.45,21.45,7.9
A5,4071,Sapiens,6,29,18.82,26.72,21.25,5.94,18.22,6.44
A5,4352,Sapiens,7,33.87,24.22,32.2,15.81,7.61,22.51,5.27
A5,4251,Sapiens,6,37.47,26.53,25.72,16.26,6.11,21.96,3.5
A5,4197,Sapiens,8,33,15.89,25.39,13.37,6.02,15.13,5.21
A5,4198,Sapiens,3,31.04,30.06,24.26,8.93,7.15,29.85,7.98
A5,4296,Sapiens,5,35.58,32.45,27.9,12.18,6.18,32.52,11.67
A5,4312,Sapiens,7,58.36,37.97,49.53,31.88,15.81,31.95,13.83
A5,4272,Sapiens,6,52.28,32.06,40.91,23.51,11.14,30.98,10.44
A5,4250,Sapiens,5,28.5,25.09,37.02,22.7,7.74,15.22,4.4
A5,4345,Sapiens,5,25.13,21.6,24.47,17.1,3.77,12.69,4.01
A5,4339,Sapiens,6,32.36,38.63,34.02,25.41,12.38,38.4,11.94
A5,385,Sapiens,4,33.1,24.25,23.96,2.16,6.97,23.23,6.82
A5,4373,Sapiens,10,42.25,35.33,46.86,33.92,10.86,34.54,10.06
A5,1460,Sapiens,8,32.52,25.78,33.2,28.21,6.16,23.79,5.09
A5,147,Sapiens,8,38.22,26.76,23.09,11.82,6.86,21.75,7.84
A5,3835,Sapiens,5,32.65,28.49,22.68,5.2,7.16,30.04,7.41
A5,3170,Sapiens,4,34.32,21.53,26.77,20.02,5.3,16.78,5.72
A5,3834,Sapiens,11,24.81,26.91,27.54,16.81,8.77,26.9,7.91
A5,4243,Sapiens,13,60.64,54.47,65.19,44.17,16.26,50.82,18.69
A5,3027,Sapiens,9,28.49,25.45,25.55,9.69,7.53,25.18,8.54
A5,104,Sapiens,3,38.11,18.63,22.66,2.42,4.77,10.66,3.91
A5,1550,Sapiens,3,34.94,26.65,24.73,2.64,7.83,27.03,7.62
A5,837,Sapiens,7,52.02,35.35,33.6,6.2,9.72,35.36,9.44
A5,1677,Sapiens,6,33.78,33.07,35.16,28.69,10.98,32.84,8.53
A5,901,Sapiens,7,23.97,11.9,19.93,17.15,3.83,9.42,3.78
A5,878,Sapiens,4,25.02,13.32,18.77,23.75,5.95,10.4,5.63
