Site,ID number,Species,Number of scars,Length,Proximal width,Medial width,Distal width,Thickness at medial,Platform width,Platform thickness
Ksar Akil 28A,2026,Neanderthal,5,75.19,32.27,28.44,1.82,6.88,32.16,8.09
Ksar Akil 28A,2040,Neanderthal,4,35.3,17.1,15.05,2,4.5,16.64,5.2
Ksar Akil 28A,2248,Neanderthal,4,59.36,29.94,31.46,1.37,7.57,26.8,6.92
Ksar Akil 28A,2252,Neanderthal,5,52.34,23.17,24.45,1.57,5.29,27.79,7.4
Ksar Akil 28A,2244,Neanderthal,3,82.4,46.64,47.37,4.43,9.68,45.18,16.85
Ksar Akil 28A,2321,Neanderthal,7,57.33,13.54,33.42,8.4,6.36,7.02,2.95
Ksar Akil 28A,2219,Neanderthal,3,46.29,26.41,26.15,4.43,6.45,27.59,5.49
Wusta,xx11,Sapiens,8,25.09,20.7,25.8,32.68,6.46,9.03,2.33
Wusta,709,Sapiens,5,15.3,8.74,11.47,9.17,2.84,8.52,1.82
Wusta,715,Sapiens,6,22.24,9.33,16.24,13.8,5.55,9.69,5.45
Wusta,704,Sapiens,3,30.42,14.65,16.32,15.78,3.35,11.26,2.52
Wusta,259,Sapiens,3,20.71,22.05,16.36,3.04,5.3,21.91,5.78
Wusta,716,Sapiens,6,50.66,28.97,26.73,20.26,8.12,29.58,9.16
Wusta,xx21,Sapiens,9,55.45,23.18,28.68,16.28,6.24,19.85,7.66
Wusta,392,Sapiens,9,24.01,26.03,28.6,33.06,8.37,23.79,10.11
Wusta,272,Sapiens,8,36.38,28.03,37.6,27.44,12.32,18.94,6.15
Wusta,304,Sapiens,4,23.75,14.45,20.33,19.59,5.24,9.12,3.36
Wusta,236,Sapiens,6,21.63,18.44,20.35,17.1,7.74,11.22,3.65
Wusta,202,Sapiens,6,32.75,12.73,18.79,14.39,3.45,4.14,1.34
Wusta,236,Sapiens,6,35.11,25.34,30.09,23.12,9.88,24.62,12.35
Wusta,232,Sapiens,6,35.1,9.66,20.01,16.51,5.13,8.77,4.77
Wusta,298,Sapiens,4,22.17,29.55,26.99,21.3,9.2,29.51,10.56
Wusta,324,Sapiens,7,27.32,9.97,15.47,15.11,4.92,6.58,1.42
Wusta,313,Sapiens,4,25.44,20.49,20.69,14.06,4.78,19.6,7.6
Wusta,360,Sapiens,4,23.09,13.68,22.36,27.2,10.79,8.92,3.26
Wusta,216,Sapiens,5,25.2,15.96,25.25,32.81,7.95,12.16,5.15
Wusta,359,Sapiens,7,19.21,11.15,19.12,16.82,6.28,6.87,3.29
Wusta,378,Sapiens,4,22.67,14.23,17.39,13.79,5.94,7.39,3.02
Wusta,258,Sapiens,7,21.41,15.43,17.57,12.14,6.47,14.87,6.17
Wusta,261,Sapiens,5,28.32,16.95,18.85,13.39,4.83,14.52,3.36
Wusta,256,Sapiens,3,37.35,38.27,43.52,4.91,12.98,41.22,17.14
Wusta,200,Sapiens,6,46.22,24.16,35.42,11.3,11.83,32.77,12.37
Wusta,91,Sapiens,6,38.12,29.25,32.79,28.85,11.7,11.09,4.45
Wusta,185,Sapiens,3,43.32,23.91,29.68,21.57,9.06,17.96,8.64
Wusta,51,Sapiens,7,43.67,17.38,34.62,22.57,9.04,10.32,2.95
Wusta,106,Sapiens,5,28.1,18.31,17.64,11.34,4.3,15.48,4.51
Wusta,112,Sapiens,3,33.88,26.76,34.19,23.92,7.64,27.26,6.56
Wusta,71,Sapiens,8,41.39,24.73,26.23,17.56,5.18,19.22,3.65
Wusta,0.86,Sapiens,4,66.3,22.43,34.52,22.88,7.91,9.85,3.59
Wusta,181,Sapiens,7,56.99,19.26,32.2,20.48,7.85,9.08,3.24
Tor Faraj,219,Neanderthal,3,64.93,42.83,40.33,1.15,8.09,42.97,10.44
Tor Faraj,216,Neanderthal,3,48.5,26.05,33.04,11.7,5.49,26.86,4.94
Tor Faraj,218,Neanderthal,4,46.24,33.18,32.61,17.7,6.63,44.31,5.41
Tor Faraj,212,Neanderthal,4,32.3,15.11,10.96,0.61,3.11,16.21,3.68
Tor Faraj,5,Neanderthal,5,57.56,36.68,34.91,30.33,7.68,39.82,7.56
Tor Faraj,10,Neanderthal,4,39.44,14.17,26.47,9.13,5.69,13.17,6.55
Tor Faraj,213,Neanderthal,6,74.93,52.77,42.3,4.28,7.71,29.28,6.06
Tor Faraj,3,Neanderthal,5,62.09,36.74,30.68,4.27,4.83,39.63,4.28
Tor Faraj,2,Neanderthal,3,46.18,45.21,32.27,1.82,5.21,48.36,4.33
Tor Faraj,220,Neanderthal,3,63.53,30.75,25.18,6.99,8.37,30.54,8.53
Tor Faraj,208,Neanderthal,7,91.72,30.27,22.36,3.33,7.4,29.25,11.78
Tor Faraj,217,Neanderthal,3,25.77,16.13,12.85,3.77,2.42,16.35,2.16
Tor Faraj,205,Neanderthal,3,44.8,20.45,28.07,3.45,4.83,19.3,4.14
Tor Faraj,200,Neanderthal,3,61.95,14.45,26.96,5.11,3.65,15.27,3.37
Tor Faraj,201,Neanderthal,6,81.57,27.13,28.11,10.68,7.13,28.74,3.85
Tor Faraj,202,Neanderthal,4,27.53,18.56,28.4,27.7,5.65,15.74,6.4
Tor Faraj,4,Neanderthal,3,39.5,28.8,35.77,18.37,5.02,32.2,4.91
Tor Faraj,198,Neanderthal,4,49.55,28.44,20.82,4.73,6.28,25.07,6.79
Tor Faraj,197,Neanderthal,4,53.77,31.13,26.2,2.28,2.93,32.72,4.25
Tor Faraj,10,Neanderthal,4,40.9,7.16,15.04,16.59,4.69,5.7,2.21
Tor Faraj,203,Neanderthal,3,22.74,26.69,31.02,25.94,3,25.69,5.06
Tor Faraj,230,Neanderthal,6,30.26,29.6,37.44,32.78,5.15,26.33,4.52
Tor Faraj,234,Neanderthal,6,53.47,23.59,21.42,10.38,7.06,23.01,6.43
Tor Faraj,24,Neanderthal,3,35.24,20.5,29.33,13.45,5.61,18.04,7.48
Tor Faraj,1,Neanderthal,4,53.17,24.26,23.81,8.29,5.64,25.16,5.72
Tor Faraj,7,Neanderthal,6,31.11,19.98,19.74,7.27,4.45,16.41,5.04
Tor Faraj,223,Neanderthal,4,50.81,41.91,39.9,16.32,9.76,41.26,9.68
Tor Faraj,7,Neanderthal,4,48.25,23.8,32.54,19.29,5.09,17.98,5.68
Tor Faraj,6,Neanderthal,6,46.04,28.18,38.57,26.27,6.83,23.91,6.64
Tor Faraj,6,Neanderthal,5,57.11,21.55,24.9,13.36,4.77,20.35,5.87
Tor Faraj,232,Neanderthal,5,67.01,18.71,26.14,9.55,6.41,21.86,7.97
Tor Faraj,227,Neanderthal,4,52.1,23.46,30.49,17.68,8.73,19.88,9.02
Tor Faraj,233,Neanderthal,5,38.71,29.91,34.24,23.16,10.09,25.41,7.67
Tor Faraj,224,Neanderthal,3,30.44,15.03,16.22,11.29,2.85,18.65,3.45
Tor Faraj,225,Neanderthal,3,72.33,42.28,37.91,4.71,7.92,37.67,8.68
Tor Faraj,226,Neanderthal,6,44.04,43.55,38.9,7.95,8.5,23.53,7.2
Tor Faraj,236,Neanderthal,5,79.09,11.44,25.83,23.33,5.31,9.67,4.38
Tor Faraj,231,Neanderthal,2,55.36,39.97,34.7,1.27,9.51,40.2,8.4
Tor Faraj,4,Neanderthal,4,63.79,21.99,29.43,1.08,8.94,22.94,5.45
Tor Faraj,5,Neanderthal,3,55.07,28.66,24.57,2.32,5.41,29.53,6.67
Tor Faraj,2,Neanderthal,3,68.53,24.6,20.06,0.9,4.85,23.1,4.4
Tor Faraj,3,Neanderthal,3,46.75,25.6,30.2,1.01,4.37,26.91,5.07
Tor Faraj,1,Neanderthal,3,61.7,50.07,43.36,0.95,7.47,45.08,8.28
Tor Faraj,6,Neanderthal,6,45.33,19.07,27.04,0.95,7.45,17.83,6.14
Tor Faraj,14,Neanderthal,3,32.22,40.37,39.82,18.34,7.58,38.45,8.98
Tor Faraj,16,Neanderthal,4,55.4,17.46,31.68,13.07,5.04,24.45,3.88
Tor Faraj,3,Neanderthal,3,69.27,39.57,31.67,4.68,8.53,30.68,7.21
Tor Faraj,3,Neanderthal,3,53.06,42.11,20.5,4.94,5.88,42.44,6.13
Tor Faraj,6,Neanderthal,6,50.02,36.42,30.14,0.87,8.87,33.45,8.76
Tor Faraj,4,Neanderthal,3,61.58,26.64,27.97,0.93,3.73,13.1,4.76
Tor Faraj,5,Neanderthal,3,46.48,36.55,27.31,1.14,6.21,42.42,6.84
Tor Faraj,4,Neanderthal,3,46.78,26.79,20.58,1.37,4.43,11.22,4.36
Tor Faraj,15,Neanderthal,3,44.6,32.89,20.61,3.49,4.02,24.3,3.61
Tor Faraj,8,Neanderthal,4,73.74,34.64,33.83,3.35,9.13,33.23,10.15
Tor Faraj,3,Neanderthal,3,66.83,42.41,37.43,1.39,8.76,47.34,7.95
Tor Faraj,25,Neanderthal,3,58.9,28.66,17.6,1.31,6.19,27.2,5.77
Tor Faraj,19,Neanderthal,3,52.19,45.34,35.88,11.14,8.99,38.22,9.4
Tor Faraj,24,Neanderthal,3,41.71,39.61,24.42,2.82,4.45,44,4.66
Tor Faraj,15,Neanderthal,6,70.17,53.39,40.14,9.21,11.15,56.17,7.68
Tor Faraj,1,Neanderthal,4,49.97,27.43,27.76,1.08,4.34,22.56,4.21
Tor Faraj,2,Neanderthal,4,40.26,35.56,30.28,6.73,6.12,41.07,7.3
Tor Faraj,4,Neanderthal,3,35.34,35.48,34.35,3.06,4.45,34.84,3.58
Tor Faraj,18,Neanderthal,3,36.18,37.01,28.62,1.36,6.45,40.28,7.21
Tor Faraj,17,Neanderthal,4,46.23,21.31,17.02,1.82,4.72,17.52,3.54
Tor Faraj,13,Neanderthal,3,52.71,21.85,26.74,5.74,6.52,21.29,4.52
Tor Faraj,6,Neanderthal,3,46.94,42.09,29.75,1.74,7.11,42.7,7.63
Tor Faraj,19,Neanderthal,3,63.5,50.07,46.44,3.01,8.05,23.47,5.01
Tor Faraj,9,Neanderthal,3,39.01,23.43,24.84,7.52,4.96,22.71,5.97
Tor Faraj,16,Neanderthal,4,63.3,39.4,27.29,5.61,6.13,44.86,5.97
Tor Faraj,1,Neanderthal,4,59.17,32.96,36.21,1.13,8.29,31.47,10.9
Tor Faraj,4,Neanderthal,5,53.69,25.36,18.46,5.04,4.94,27.66,4.99
Tor Faraj,5,Neanderthal,4,61.74,31.66,31.98,24.78,5.35,33.59,4.79
Tor Faraj,4,Neanderthal,3,54.42,22.43,26.36,20.81,7.21,23.28,3.9
Tor Faraj,2,Neanderthal,3,51.7,6.72,11.82,2.72,4.93,8.88,2.11
Tor Faraj,16,Neanderthal,3,35.11,19.93,20.79,1.27,3.74,18.38,4.19
Tor Faraj,102,Neanderthal,3,39.95,12.32,12.78,2.03,2.21,7.67,2.52
Tor Faraj,204,Neanderthal,3,26.48,18.31,16,6.45,3.04,16.04,4.86
Tor Faraj,14,Neanderthal,3,33.32,16.31,21.57,4.22,2.56,17.39,2.09
Tor Faraj,13,Neanderthal,6,51.21,14.46,23.72,1.42,5.06,16.18,3.59
Tor Faraj,507,Neanderthal,3,53.04,21.1,34.99,1.43,10.26,18,4.43
Tor Faraj,6,Neanderthal,3,52.81,29.19,35.67,15.43,4.23,22.62,3.76
Tor Faraj,535,Neanderthal,4,43.75,27.88,22.98,2.73,5.07,14.13,6.17
Tor Faraj,101,Neanderthal,4,55.7,33.56,22.48,5.39,4.03,38.86,6.46
Tor Faraj,102,Neanderthal,4,30.07,30.6,24.19,9.33,5.78,30.83,4.24
Tor Faraj,553,Neanderthal,4,63.3,39.4,27.29,5.61,6.13,44.86,5.97
Tor Faraj,7,Neanderthal,4,56.18,17.72,30.54,11.08,5.21,28.2,4.91
Tor Faraj,195-1,Neanderthal,4,30.07,30.6,24.19,9.33,5.78,30.83,4.24
Tor Faraj,195-2,Neanderthal,3,30.15,21.93,16.04,3.19,2.87,22.57,2.28
Tor Faraj,UC 14,Neanderthal,3,27.91,15.03,13.68,2.76,2.07,8.43,2.25
Tor Faraj,UC 17,Neanderthal,3,45.24,34.82,32.02,2.2,7.04,37.4,7.42
Tor Faraj,UC 18,Neanderthal,3,31.57,16.43,16.28,2.57,5.38,14.8,5.11
Tor Faraj,UC 19,Neanderthal,3,71.15,28.51,31.72,5.6,7.3,22.07,4.62
Tor Faraj,UC 22,Neanderthal,3,57.24,41.12,27.45,3.95,5.32,13.13,2.85
Tor Faraj,UC1,Neanderthal,5,55.64,44.26,30.02,1.98,6.57,58.15,8.08
Tor Faraj,UC10,Neanderthal,3,59.85,24.91,22.85,1.37,6.71,21.22,4.08
Tor Faraj,UC11,Neanderthal,4,63.38,50.74,34.97,13.05,6.23,58.51,4.95
Tor Faraj,UC15,Neanderthal,3,68.91,34.76,28.95,1.25,7.89,42.54,6.16
Tor Faraj,UC21,Neanderthal,3,55.29,40.98,28.98,1.7,5.04,38.01,4.85
Tor Faraj,UC5,Neanderthal,3,50.58,26.26,23.49,2.35,4.19,33.86,4.77
Tor Faraj,UC6,Neanderthal,3,58.51,36.53,28.05,2.37,6.35,27.28,5.91
Tor Faraj,UC7,Neanderthal,3,75.01,54.22,35.18,1.26,7.17,58.84,6.81
Tor Faraj,UC8,Neanderthal,3,55.97,38.72,20.37,2,4.82,49.92,3.86
Tor Faraj,UC9,Neanderthal,4,66.27,28.23,27.24,2.14,5.75,28.18,6.23
Tor Faraj,258,Neanderthal,3,51.94,20.92,23.25,4,4.28,31.27,3.93
Tor Faraj,251,Neanderthal,3,52.25,44.96,29.53,1.24,5.1,54.1,5.86
Tor Faraj,254,Neanderthal,3,69.72,53.01,37.65,1.39,7.24,52.28,7.54
Tor Faraj,261,Neanderthal,7,42.3,21.44,22.43,11.47,5.17,21.47,5.48
Tor Faraj,260,Neanderthal,5,30.23,22.86,34.68,30.51,6.32,21.7,4.24
Tor Faraj,279,Neanderthal,3,46.19,34.58,29.76,21.14,9.51,38.12,3.77
Tor Faraj,277,Neanderthal,6,41.83,25.81,36.99,28.78,7.65,27.43,7.98
Kebara x,370,Neanderthal,6,51.12,32.91,25.59,10.3,5.76,26.12,3.48
kebara x,277,Neanderthal,6,60.72,30.1,27.29,1.9,8.37,20.9,7.21
kebara x,287,Neanderthal,5,58.95,36.3,34.46,3.6,9.74,26.7,7.29
kebara x,452,Neanderthal,5,39.91,27.8,30.89,4.1,6.71,24.78,3.69
Kebara x,468,Neanderthal,4,50.98,15.45,15.29,2.6,6.12,12.23,4.06
kebara x,465,Neanderthal,3,47.87,12.83,17.51,6.9,6.73,6.33,4.62
kebara x,463,Neanderthal,8,85.75,44.1,33.2,2.1,6.04,31.15,5.03
kebara x,174,Neanderthal,5,39.22,33.62,36.36,4.2,4.79,26.07,5.16
Kebara x,55,Neanderthal,5,65.31,28.54,26.84,17.97,5.05,21.5,3.67
kebara x,553,Neanderthal,6,64.89,24.88,39.07,4.8,8.56,22.17,5.64
kebara x,513,Neanderthal,4,47.88,28.42,23.64,4.7,4.14,23.44,3.27
kebara x,464,Neanderthal,3,43.73,31.53,27.68,1,6.05,31.76,4.05
Kebara x,460,Neanderthal,5,59.17,23.97,27.65,7.8,8.45,22.53,6.12
kebara x,351,Neanderthal,5,55.49,11.39,21.53,8.67,5.69,7.6,3.18
kebara x,171,Neanderthal,5,43.86,12.15,22.02,5,4.66,7.15,2.38
kebara x,260,Neanderthal,5,30.56,17.2,30.9,1.3,7.04,15.99,4.52
kebara x,196,Neanderthal,9,55.29,40.79,24.55,2.56,5.22,36.16,6.68
kebara x,248,Neanderthal,4,61.13,39.9,56.81,15.2,11.52,18.08,4.58
kebara x,321,Neanderthal,3,41.29,31.77,29.41,12.1,9.59,NA,4.77
Kebara x,300,Neanderthal,4,43.85,37.41,36.12,16.6,5.49,36.47,7.02
kebara x,324,Neanderthal,4,39.72,34.3,29.11,2.8,4.27,34.41,8.35
kebara x,468,Neanderthal,3,50.49,23.84,18.78,4.5,3.32,19.87,3.66
kebara x,261,Neanderthal,5,54.26,17.02,14.82,4.7,4.88,14.95,2.73
Kebara x,459,Neanderthal,3,54.94,21.14,15.21,1.7,3.69,16.89,4.71
kebara x,497,Neanderthal,4,79.71,22.66,30.16,8,5.62,18.38,2.73
kebara x,75,Neanderthal,4,37.7,15.61,18.76,2.3,2.8,13.68,3.31
kebara x,225,Neanderthal,4,36.28,21.17,21.42,2.7,5.45,15.38,3.71
Kebara x,239,Neanderthal,4,69.15,28.59,32.61,25.1,7.21,16.62,5.18
kebara x,253,Neanderthal,4,86.22,29.66,27.73,1.9,7.78,26.03,5.95
kebara x,213,Neanderthal,4,62.12,30.47,32.6,3.7,5.23,30.25,4.73
kebara x,180,Neanderthal,3,47.1,38.99,30.78,3.2,7.19,39.04,7.11
Kebara x,151,Neanderthal,4,35.94,19.17,27.03,7.9,3.55,17.52,4.44
kebara x,287,Neanderthal,3,37.38,17.74,18.75,6.71,2.62,17.08,4.48
kebara x,194,Neanderthal,3,42.25,34.48,26.67,21.87,5.43,32.66,7.2
Kebara x,154,Neanderthal,3,44.75,22.12,25.22,11.07,7.2,18.12,4.76
kebara x,196,Neanderthal,3,40.05,35.32,31.13,2.1,4.09,35.25,7.96
kebara x,31,Neanderthal,4,36.7,40.4,31.62,29.22,6.21,36.04,2.69
kebara x,935,Neanderthal,4,60.3,36.13,29.63,4,5.39,34.61,4.29
Kebara x,502,Neanderthal,3,89.18,32.45,37.33,3.5,9.03,30.11,5.19
kebara x,210,Neanderthal,2,61.32,37.91,28,2.4,8.05,26.54,3.52
kebara x,273,Neanderthal,3,48.47,27.55,26.29,4.6,4.82,25.67,6.12
kebara x,253,Neanderthal,3,35.98,29.28,26.01,1.9,3.65,27.75,3.37
Kebara x,131,Neanderthal,6,32.59,38.71,41.9,1.4,5.47,38.37,6.11
kebara x,200,Neanderthal,2,32.46,19,21.88,5.2,4.62,19.29,6.45
kebara x,120,Neanderthal,10,60.06,18.14,30.1,16.66,8.77,12.56,5.04
Kebara x,399,Neanderthal,3,38.03,42.2,35.84,1.5,7.64,41.1,8.03
kebara x,432,Neanderthal,3,44.54,31.74,30.21,7.6,3.45,20.53,3.18
kebara x,362,Neanderthal,3,49.78,46.92,32.75,16.6,7.56,46.74,6.72
kebara x,889,Neanderthal,3,48.63,35.13,34.92,7.16,3.62,34.4,4.39
Kebara x,251,Neanderthal,5,49.04,23.33,25.04,1.3,6.73,14.91,4.63
kebara x,353,Neanderthal,4,44.49,27.11,19.18,1.6,6.19,20.68,6.87
kebara x,349,Neanderthal,6,63.44,39.22,40.22,12.7,8.67,38.54,6.72
kebara x,367,Neanderthal,3,63.88,43.05,45.56,22,4.89,42.76,5.82
Kebara x,468,Neanderthal,4,39.83,21.21,14.36,3.1,4.07,20.41,3.77
kebara x,494,Neanderthal,4,40.31,23.1,17.9,1.3,3.13,19.51,4.31
kebara x,280,Neanderthal,5,61.87,33.09,26.18,16.72,7.31,32.87,5.1
kebara x,428,Neanderthal,4,49.9,31.73,20.95,2.2,6.29,30.62,3.96
Kebara x,347,Neanderthal,4,42.07,31.31,27.78,8.3,6.55,30.72,3.94
kebara x,419,Neanderthal,3,51.74,27.74,30.31,4.6,4.12,25.87,4.94
kebara x,473,Neanderthal,3,38,26.18,18.21,1.6,4.71,26.17,6.34
kebara x,258,Neanderthal,5,40.02,37.02,29.9,1.6,6.83,28.99,7.05
Kebara x,308,Neanderthal,4,39.41,23.93,21.05,2.1,4.46,22.56,4.78
kebara x,522,Neanderthal,3,32.8,23.28,18.91,5.6,4.74,23.49,3.79
kebara x,474,Neanderthal,3,32.23,19.16,18.14,9.3,4.94,5.81,2.1
kebara x,255,Neanderthal,3,41.07,24.11,22.8,4.1,6.05,22.37,4.18
Kebara x,292,Neanderthal,4,58.95,37.72,32.29,3.3,6.45,21.72,8.05
kebara x,369,Neanderthal,4,56.74,27.43,25.2,1.7,7.03,19.57,4.88
kebara x,350,Neanderthal,4,53.48,32.18,34.94,1.3,6.33,28.84,5.02
kebara x,313,Neanderthal,4,45.5,24.84,20.56,3.52,5.36,12.98,4.66
Kebara x,424,Neanderthal,4,35.03,27.72,34.2,20.11,8.05,25.43,6.2
kebara x,464,Neanderthal,4,34.16,30.23,27.99,2.4,5.62,29.74,6.4
kebara x,290,Neanderthal,3,43.4,37.37,28.79,1.2,4.64,22.47,3.6
kebara x,382,Neanderthal,5,49.29,21.29,25.5,2.3,7.48,18.66,2.35
Kebara x,330,Neanderthal,3,41.43,31.75,20.59,2.3,5.32,25.19,4.68
kebara x,343,Neanderthal,4,75.34,64.04,51.47,8.2,10.99,51.95,4.65
kebara x,348,Neanderthal,5,47.69,14.52,19.45,1,4.74,10.02,1.8
kebara x,458,Neanderthal,3,54.29,18.42,16.24,4.1,4.21,15.07,7.07
Kebara x,412,Neanderthal,5,41.03,15.53,17.6,7.3,3.87,3.76,1.63
kebara x,283,Neanderthal,4,36.75,35.28,24.7,4.7,6.43,35.28,4.64
kebara x,80,Neanderthal,5,32.2,22.5,21.96,2.5,3.81,13.85,5.6
kebara x,73,Neanderthal,4,36.08,22.45,22.31,4.2,4.12,21.71,3.83
Kebara x,193,Neanderthal,4,54.16,40.13,35.15,1.3,8.67,40.33,8.36
kebara x,234,Neanderthal,6,56.84,26.88,33.29,1.4,3.44,26.79,3.68
kebara x,175,Neanderthal,4,60.15,34.47,38.72,20.1,7.56,30.45,10.74
kebara x,215,Neanderthal,3,52.11,42.18,41.81,5.9,7.41,41.02,8.63
Kebara x,581,Neanderthal,3,55.36,37.11,30.38,1.6,5.21,36.98,7.26
kebara x,523,Neanderthal,6,50.72,41.9,41.88,3.5,6.61,41.43,7.39
kebara x,107,Neanderthal,2,32.28,30.43,28.43,10.48,2.34,25.62,2.66
kebara x,230,Neanderthal,3,30.36,28.68,20.58,1.3,3.32,28.56,1.23
Kebara x,895,Neanderthal,2,81.39,39.43,28.56,9.7,6.91,36.34,8.19
kebara x,591,Neanderthal,4,85.22,48.95,35.04,5.9,7.99,47.78,5.62
kebara x,1308,Neanderthal,6,76.03,23.76,30.54,5.1,7.77,17.84,6.81
kebara x,446,Neanderthal,2,63.27,42.75,35.7,3.7,6.32,37.97,8.69
Kebara x,457,Neanderthal,3,41.9,18.59,18.94,1.8,6.96,17.02,3.82
kebara x,212,Neanderthal,4,45.24,22.93,18.3,1.3,2.63,20.02,3.58
kebara x,207,Neanderthal,4,53.56,33.49,23.41,1.6,7.39,33.39,4.19
kebara x,278,Neanderthal,6,43.3,28.51,28.02,1.5,4.16,26.83,7.4
Kebara x,270,Neanderthal,5,44.32,48.09,36.66,0.7,9.1,48.11,6.88
kebara x,181,Neanderthal,4,55.29,29.73,34.8,1.9,6.17,28.71,5.33
kebara x,231,Neanderthal,3,40.92,43.67,26.15,9.2,7.09,43.71,7.59
kebara x,200,Neanderthal,3,52.05,37.72,31.54,5.5,5.16,38.73,6.38
Kebara x,244,Neanderthal,4,43.2,42.02,31.29,6.9,10.72,40.53,6.72
kebara x,272,Neanderthal,3,35.74,27.27,15.4,1.5,3.9,28.69,3.45
kebara x,209,Neanderthal,2,35.63,35.7,22,1.6,4.71,35.47,4.29
kebara x,216,Neanderthal,4,33.58,32.85,22.41,0.9,6.82,32.73,4.66
Kebara x,197,Neanderthal,3,28.06,29.3,20.37,11.84,3.19,29.15,5.15
kebara x,229,Neanderthal,3,30.53,25.17,21.39,13.1,3.93,25.17,2.73
kebara x,281,Neanderthal,5,43.16,35.63,38.91,4.8,12.57,31.9,8.75
kebara x,242,Neanderthal,5,34.27,21.9,21.2,1.2,6.72,20.79,1.58
Kebara x,391,Neanderthal,6,48.84,60.95,47.77,7.2,11.6,61.18,8.29
kebara x,118,Neanderthal,5,39.31,21.54,24.74,6.1,4.71,15.84,3.17
kebara x,40,Neanderthal,4,44.98,31.03,29.32,23.67,3.52,23.12,5.67
Qafzeh XIX,747,Sapiens,3,31,17.18,23.97,16.33,3.78,13.49,3.89
Qafzeh XIX,731,Sapiens,4,53.42,20.53,24.48,6.34,5.35,6.74,4.15
Qafzeh XIX,47,Sapiens,3,35.06,22.86,23.21,10.39,4.72,3.45,1.67
Qafzeh XIX,284,Sapiens,5,53.1,23.51,26.22,7.71,6.07,15.81,3.73
Qafzeh XIX,111,Sapiens,5,73.56,24.36,26.28,16,7.27,16.77,4.61
Qafzeh XIX,NA,Sapiens,6,NA,NA,32.47,16,5.15,NA,NA
Qafzeh XIX,358,Sapiens,5,38.31,24.88,18.79,13,3.23,13.97,5.09
Qafzeh XIX,735,Sapiens,5,43.46,22.18,28.71,8.91,2.94,20.49,3.77
Qafzeh XIX,1,Sapiens,5,33.39,22.19,26.76,11.87,5.66,20.6,1.95
Qafzeh XIX,44,Sapiens,4,38.88,16.78,31.32,6.3,5.12,13.02,2.41
Qafzeh XIX,372,Sapiens,6,29.96,19.99,25.23,,5.39,19.64,6.58
Qafzeh XIX,,Sapiens,6,26.88,15.41,14.93,10.45,2.52,13.14,4.8
Qafzeh XIX,4,Sapiens,5,65.73,25.81,30.43,10.71,8.9,27.86,3.66
Qafzeh XIX,619,Sapiens,5,42.93,42.43,58.82,38,11.19,41.82,3.91
Qafzeh XIX,16,Sapiens,3,27.68,24.45,25.69,11,5.62,24.05,6.11
Qafzeh XIX,79,Sapiens,3,40.23,17.87,23.54,15,5.91,8.11,4.56
Qafzeh XIX,32,Sapiens,7,19.4,23.44,20.44,15,4.18,22.05,5.55
Qafzeh XIX,522,Sapiens,9,36.79,25.98,27.04,7.99,6.62,9.99,3.53
Qafzeh XIX,730,Sapiens,4,22.6,21.77,26.37,23.24,6.03,20.93,5.65
Qafzeh XIX,525,Sapiens,4,48.61,29.58,24.45,23,10.9,11.76,2.59
Qafzeh XIX,45,Sapiens,4,30.18,14.44,17.08,18.82,2.31,7.97,2.3
Qafzeh XIX,2252,Sapiens,4,26.28,13.23,18.69,8.51,2.01,6.89,1.09
Qafzeh XIX,32,Sapiens,3,28.79,14.4,23.03,14.75,5.49,11.24,4.81
Qafzeh XIX,563,Sapiens,3,58.74,25.74,42.2,8,5.11,23.35,5.51
Qafzeh XIX,33,Sapiens,3,36.12,25.8,39.75,16,5.02,18.17,5.75
Qafzeh XIX,73,Sapiens,5,35.65,15.23,12.24,10.52,5.19,4.91,1.87
Qafzeh XIX,24,Sapiens,4,30.24,29.78,30.51,23.35,5.58,28.07,3.77
Qafzeh XIX,2,Sapiens,10,44.53,15.75,22.86,12,3.37,5.74,2.53
Qafzeh XIX,145,Sapiens,9,50.13,42.58,39.01,25.36,7.51,36.47,4.76
Qafzeh XIX,427,Sapiens,5,45.64,20.15,23.84,8,8.87,17.99,1.93
Qafzeh XIX,33,Sapiens,5,31.2,18.28,21.44,6,3.6,13.36,3
Qafzeh XIX,621,Sapiens,7,25.95,32.96,30.71,17,5.54,29.96,5.33
Qafzeh XIX,176,Sapiens,5,31.36,29.45,36.76,14,4.89,25.37,2.4
Qafzeh XIX,35,Sapiens,6,30.25,21.63,22.8,7.09,3.4,18.79,4.7
Qafzeh XIX,2651,Sapiens,3,20.18,26.23,21.54,11.2,3.55,24.74,3.38
Qafzeh XIX,281,Sapiens,3,53.97,27.25,37.19,17.07,6.39,36.66,5.94
Qafzeh XIX,21,Sapiens,8,46.36,42.89,39.96,12.09,6.96,39.03,10.6
Qafzeh XIX,42,Sapiens,4,29.7,24,25.35,12,5.27,17.98,5.38
Qafzeh XIX,16,Sapiens,4,30.87,25.93,20.77,7,2.03,13.92,3.37
Qafzeh XIX,2525,Sapiens,3,20.43,40.7,40.87,27,8.43,39.32,4.67
Qafzeh XIX,417,Sapiens,6,27.24,33.61,29.48,12.93,5.2,33.25,1.88
Qafzeh XIX,2593,Sapiens,3,19.92,18.2,19.74,13.3,5.05,17.87,4.7
Qafzeh XIX,9,Sapiens,3,49.53,31.04,40.39,22,11.71,50.76,7.9
