Site,ID number,Number of scars,Length,Proximal width,Medial width,Distal width,Thickness at medial,Platform width,Platform thickness,Weight,,,
ANW-3,7(?),7.00,51.67,27.94,51.67,26.48,5.19,23.89,4.99,13.10,,,
A5,1313.00,7.00,28.17,19.83,22.33,12.57,6.64,20.11,8.43,6.20,,,
A5,1335.00,5.00,37.30,31.69,40.14,38.96,13.03,19.20,8.99,26.10,,,
A5,4725.00,3.00,62.87,29.40,27.23,4.63,11.23,28.12,11.11,32.70,,,
A5,6002.00,5.00,38.81,22.58,25.42,16.86,4.90,22.82,3.59,6.90,,,
A5,4492.00,7.00,33.13,20.27,19.22,11.48,4.94,7.96,2.93,4.00,,,
A5,4587.00,7.00,30.75,32.15,32.33,17.47,6.19,33.02,6.06,7.50,,,
A5,4493.00,8.00,19.95,15.33,15.48,2.12,5.49,13.61,5.35,2.70,,,
A5,1235.00,5.00,23.98,24.48,20.56,16.74,5.64,25.08,6.98,4.40,,,
A5,1003.00,8.00,29.58,37.14,44.10,20.73,10.32,39.72,11.12,23.30,,,
A5,1023.00,6.00,20.19,13.14,15.60,12.51,4.48,9.83,4.72,1.50,,,
A5,1435.00,10.00,26.59,16.75,25.03,19.00,5.06,12.61,4.25,3.90,,,
A5,1431.00,6.00,20.28,22.32,25.51,20.79,5.38,15.08,4.98,3.00,,,
A5,4436.00,6.00,25.96,18.20,23.03,13.87,4.17,8.16,2.83,2.80,,,
A5,4304.00,11.00,49.72,20.20,35.19,4.72,6.45,21.45,7.90,19.10,,,
A5,4071.00,6.00,29.00,18.82,26.72,21.25,5.94,18.22,6.44,5.30,,,
A5,4352.00,7.00,33.87,24.22,32.20,15.81,7.61,22.51,5.27,9.10,,,
A5,4251.00,6.00,37.47,26.53,25.72,16.26,6.11,21.96,3.50,6.40,,,
A5,4197.00,8.00,33.00,15.89,25.39,13.37,6.02,15.13,5.21,7.50,,,
A5,4198.00,3.00,31.04,30.06,24.26,8.93,7.15,29.85,7.98,9.30,,,
A5,4296.00,5.00,35.58,32.45,27.90,12.18,6.18,32.52,11.67,9.90,,,
A5,4312.00,7.00,58.36,37.97,49.53,31.88,15.81,31.95,13.83,56.00,,,
A5,4272.00,6.00,52.28,32.06,40.91,23.51,11.14,30.98,10.44,37.10,,,
A5,4250.00,5.00,28.50,25.09,37.02,22.70,7.74,15.22,4.40,9.10,,,
A5,4345.00,5.00,25.13,21.60,24.47,17.10,3.77,12.69,4.01,3.00,,,
A5,4339.00,6.00,32.36,38.63,34.02,25.41,12.38,38.40,11.94,21.30,,,
A5,385.00,4.00,33.10,24.25,23.96,2.16,6.97,23.23,6.82,6.00,,,
A5,4373.00,10.00,42.25,35.33,46.86,33.92,10.86,34.54,10.06,28.30,,,
A5,1460.00,8.00,32.52,25.78,33.20,28.21,6.16,23.79,5.09,12.40,,,
A5,147.00,8.00,38.22,26.76,23.09,11.82,6.86,21.75,7.84,8.50,,,
A5,3835.00,5.00,32.65,28.49,22.68,5.20,7.16,30.04,7.41,8.30,,,
A5,3170.00,4.00,34.32,21.53,26.77,20.02,5.30,16.78,5.72,6.30,,,
A5,3834.00,11.00,24.81,26.91,27.54,16.81,8.77,26.90,7.91,9.00,,,
A5,4243.00,13.00,60.64,54.47,65.19,44.17,16.26,50.82,18.69,68.80,,,
