Site,Sp,SpCode,PC1,PC2,PC3,PC4
1017,sapiens,0,3.0080405848803924,0.7130517027226121,-0.45067705879328024,0.3102935429217011
1017,sapiens,0,1.3469615071543755,1.7086286380854445,-0.3421224100674942,-0.6320327327391377
1017,sapiens,0,2.380174185532506,0.8365090370637772,-0.38659088063275165,0.5584665529311135
1017,sapiens,0,0.5026903406672902,0.6915993319844328,-1.5185019908131334,-0.03879907725026906
1017,sapiens,0,0.6082568866069112,0.518466646415149,-1.8401153415276295,-0.7455272098115462
1017,sapiens,0,2.060276571516343,0.9742652333015785,0.18744161180698535,0.9731191428069208
1017,sapiens,0,2.1666988220387586,0.3745122505651329,0.7328211032103987,-0.7925877546257617
1017,sapiens,0,1.600725132817085,0.9419133010493259,-0.6331033682851006,1.38588529892633
1017,sapiens,0,1.7944807998400893,1.3415680120728055,-0.12473650887549038,1.0641378215045347
1017,sapiens,0,0.5628919343552611,1.1170639850088213,0.169511990351598,-0.1245817994928018
1017,sapiens,0,-1.7571809601775727,1.2686768860792697,0.04247589047138338,0.5097980247572648
1017,sapiens,0,1.8760333537183345,0.35318148272650185,0.6082418230360571,-0.08371034197004898
1017,sapiens,0,0.23389786659509423,-0.34015646006698774,-0.7031799192840946,-0.10579537036860258
1017,sapiens,0,0.008662606303871135,0.08944245888878744,0.30091376663867647,-0.8663133260896634
1017,sapiens,0,-1.1077378852653115,0.6184432612588023,0.8436272221688919,-0.349253664973411
1017,sapiens,0,-1.0206475289428372,0.700265067793561,0.23671714688487142,-0.05575863795041877
1017,sapiens,0,-0.03297854987292472,0.9641128695756317,0.5423617370208524,0.36724359299317405
1017,sapiens,0,0.14949453695854173,-0.1302569399275038,-1.39343553277522,-0.27689598997834075
1017,sapiens,0,-0.4091035073546459,1.2965415091778596,0.8250616249649735,-0.2640883798440108
1017,sapiens,0,-0.8756192316538921,1.7706638799655954,0.5381389839078106,0.2854873467347769
1017,sapiens,0,-2.167301963937533,2.3584160495733233,-0.5545090194462454,1.3941232409110624
1017,sapiens,0,-1.2493768834455574,2.5118907173838516,-0.6761082551265026,2.6604156461700925
1017,sapiens,0,-2.4501308360157132,1.6627478958023263,-0.6221242623977622,1.705669869231236
1017,sapiens,0,-1.5060024436423565,-0.7679019787710102,-1.395839248524868,0.13250398835897712
1017,sapiens,0,-0.44872062239543203,0.45025575642516646,0.01666964895682323,0.6617831804899339
1017,sapiens,0,-2.1527982267563073,0.8241724846355737,0.33411688960649644,0.46559709159421636
1017,sapiens,0,-0.8102910666840145,0.9465685123539401,0.956099170129272,0.5835017709412026
1017,sapiens,0,-3.7072292413907664,0.4408348853398221,0.0813792245979662,-0.26346287637567245
1017,sapiens,0,-1.816507764340275,0.03676466358059992,1.507932438445436,-0.10224901867155209
1017,sapiens,0,-7.104899198248425,1.756134876499867,-1.7088180689584493,-0.3313379855769532
1017,sapiens,0,-2.6074735624887735,1.2519725273396662,-0.3716808481574855,0.6259881682161296
1017,sapiens,0,-4.538033456617843,1.2765671955457072,0.7552106403752752,-0.8544110104726834
1017,sapiens,0,-4.464437507056964,0.2972051598144391,0.04376611399231081,0.8860066009381442
1017,sapiens,0,-3.8906371085977445,-0.3688872184787041,-1.2704921042416188,0.9735985464002814
1017,sapiens,0,-4.190330765482756,2.298918727664601,-0.09950996032241399,2.591342272966788
1017,sapiens,0,-5.180372555563799,2.246769056659644,-0.4956131705292846,2.506061078444271
1017,sapiens,0,-4.3012022896844,1.3888488608312297,-0.11368461249331753,3.0783124418937327
1017,sapiens,0,-4.027639762628416,0.5414147815018324,0.674867664511589,1.0769511727137078
1017,sapiens,0,-4.658670929347036,1.0696437938769734,1.485245429389844,0.3893904446988009
1017,sapiens,0,-5.29315865440517,0.9457954542362569,0.8647992692646215,1.4555505803959614
1017,sapiens,0,-4.641836472632814,-0.34353842569180587,1.2965783077816577,-0.30022852247894966
1017,sapiens,0,-6.047867638733361,1.0566664155789898,-0.12537491144999016,0.8321154408073765
1017,sapiens,0,-4.402382771281874,-0.5229458243863704,0.3909177689867167,1.6363628093417721
1017,sapiens,0,-7.160909605937036,0.9845373468824552,-1.0137831971876046,2.298216635664838
A5,sapiens,0,2.5485214625833184,1.0958196909158058,-0.34647128565936247,0.40036789531112704
A5,sapiens,0,2.737886422265077,1.1446562997957652,0.1476394267837084,-0.05822098794077743
A5,sapiens,0,2.9130895670724324,1.6991602490105966,0.2255277678778939,0.20033378520104556
A5,sapiens,0,3.3988617120739515,0.7892174869778581,-0.11000511508528964,1.0293575062726301
A5,sapiens,0,3.0825903261630483,1.2631987131597062,0.6223885620103456,0.35015726606181896
A5,sapiens,0,2.3996972390448215,1.2234927853727373,0.799493101675948,-0.8311644206849114
A5,sapiens,0,2.692317416761414,-0.4145481910428005,-0.1681252326983972,-0.3951968373347095
A5,sapiens,0,1.8239434201068203,2.3329315055958895,-0.08197112367023576,0.9792267477512576
A5,sapiens,0,2.3146465097257063,0.7845542552488306,0.614380000097493,-0.3312540913351538
A5,sapiens,0,2.730770268748489,1.1775902012612078,0.4596454045890988,1.5710031817013863
A5,sapiens,0,2.9397344479523664,1.17336511825597,-0.07219330561241026,1.683919111342945
A5,sapiens,0,1.7357500361982456,1.2773158891664487,0.9664562446078945,-0.0754502744336223
A5,sapiens,0,1.6597559460583353,1.4521302886841982,-0.1473239211422147,0.6823223722951746
A5,sapiens,0,0.7111358542704352,1.0633042674984827,0.5740566526471019,-0.848622407215862
A5,sapiens,0,1.4846992560250616,0.4425226473457,0.48907982413532713,-0.7295409042226499
A5,sapiens,0,1.2875992128937368,1.1794345690223822,0.6296050043099986,-0.10198185160530338
