"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8"
"Number.of.scars",0.18550031161734,0.564186615481319,-0.342356537147864,0.681436079146978,0.237669320464233,-0.0330642299533325,-0.0901849396312269,0.0025877175069773
"Length",0.283526683294304,-0.301302044547699,-0.822709522111122,-0.268614537482781,-0.0209624918180655,-0.191384376404493,-0.191044985676493,0.0791162318681709
"Proximal.width",0.411334784477884,-0.328747056916701,0.152400400603126,0.104253231996975,0.357918981799578,0.0980093431395058,-0.115064142669612,-0.733268616100508
"Medial.width",0.434544479882807,0.156271854314804,-0.0369108275501114,-0.233793243810661,0.226740440829555,0.109238480050967,0.806275412362299,0.131545425230323
"Distal.width",0.260796547419292,0.538179813765277,0.220819254317481,-0.553219873623775,0.228223658795558,-0.216250124618626,-0.433778175995865,0.0228170212388305
"Thickness.at.medial",0.407095864400792,0.107479352398225,0.0068941901080658,-0.0171712354030609,-0.495139219808851,0.725470144953245,-0.215075544659705,0.0682018818746824
"Platform.width",0.373858778973612,-0.395374123287654,0.3136385165127,0.252942056530334,0.275657024290944,-0.0825021228476201,-0.208633895428489,0.644390111174768
"Platform.thickness",0.392000989486284,0.030083225872241,0.184864708450595,0.166241749259957,-0.624756722684064,-0.600718113934444,0.118741712976771,-0.135410984734675
