"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",0.363753954614574,0.136840864017832,2.65822608783859,0.00785531762014323
"PC1",0.271090410064125,0.0697225060602265,3.88813347916606,0.000101018071472531
"PC2",2.60822508691243,0.200761064702568,12.9916878592797,1.36385638954862e-38
"PC3",0.759913297926082,0.155619007994834,4.88316503052962,1.04396425424333e-06
"PC4",0.582182616137051,0.189225410091621,3.07666193380246,0.00209332565544394
